FBin        FFTr             FFTi             SpectraPower
084       FFFFFFE9         00000128         0000000000015851
085       000000E4         FFFFFF7C         0000000000010F20
086       FFFFFEB3         FFFFFFFE         000000000001B12D
087       00000116         0000006E         0000000000015D28
088       FFFFFF2D         FFFFFF2C         0000000000015D79
089       00000037         00000098         0000000000006611
08A       FFFFFF8D         0000008B         0000000000007F22
08B       00000182         FFFFFF34         000000000002E894
08C       FFFFFF28         00000123         0000000000020109
08D       FFFFFEF1         00000020         00000000000122E1
08E       00000019         0000005C         0000000000002381
08F       0000019B         FFFFFF31         0000000000033B3A
090       FFFFFEAC         0000009B         0000000000022169
091       000000A3         0000007E         000000000000A5CD
092       FFFFFFA3         FFFFFF4A         000000000000A32D
093       FFFFFE91         0000012F         00000000000374C2
094       00000125         FFFFFFE2         00000000000152DD
095       FFFFFF6F         FFFFFF7E         0000000000009425
096       00000024         FFFFFFDA         0000000000000AB4
097       000000D4         FFFFFF71         000000000000FF71
098       000000C7         0000002F         000000000000A352
099       FFFFFFF8         000000D1         000000000000AAE1
09A       FFFFFF94         000000FC         00000000000125A0
09B       0000006C         FFFFFF5E         0000000000009414
09C       FFFFFFEA         FFFFFFD0         0000000000000AE4
09D       FFFFFFEB         00000027         00000000000007AA
09E       FFFFFED5         00000100         0000000000025D39
09F       0000001A         FFFFFF83         0000000000003FAD
0A0       0000001F         0000008F         00000000000053A2
0A1       00000093         FFFFFEE0         0000000000019869
0A2       FFFFFF3D         00000064         000000000000BB99
0A3       FFFFFDFB         000000E3         000000000004DD62
0A4       0000025F         000000AE         0000000000061585
0A5       FFFFFF5F         FFFFFE77         000000000002C092
0A6       00000035         000001B8         000000000002FF39
0A7       FFFFFDBD         FFFFFEAF         000000000006D92A
0A8       000001D5         00000090         000000000003AC39
0A9       FFFFFD66         00000050         000000000006DDA4
0AA       00000165         000000CB         00000000000292D2
0AB       FFFFFE55         FFFFFFFA         000000000002C85D
0AC       00000185         FFFFFFCA         0000000000025A7D
0AD       FFFFFDAD         00000121         000000000006AD2A
0AE       000000E2         FFFFFF5D         0000000000012F4D
0AF       FFFFFE60         000000BB         0000000000032C99
0B0       00000133         FFFFFF15         00000000000247E2
0B1       FFFFFED4         00000030         0000000000016890
0B2       0000001A         00000183         0000000000024BAD
0B3       0000010E         FFFFFE11         000000000004D9E5
0B4       FFFFFE34         0000012B         00000000000497C9
0B5       FFFFFFDF         FFFFFE48         000000000002F881
0B6       00000005         0000023F         0000000000050B9A
0B7       00000040         FFFFFF4E         0000000000008BC4
0B8       0000000B         FFFFFF51         000000000000781A
0B9       FFFFFF52         000000DA         0000000000012FE8
0BA       FFFFFFE1         00000061         0000000000002882
0BB       FFFFFF3C         00000071         000000000000C7F1
0BC       00000082         FFFFFDA0         000000000005E604
0BD       FFFFFF7E         000001F9         0000000000042635
0BE       FFFFFFE6         FFFFFFCE         0000000000000C68
0BF       FFFFFE77         FFFFFF60         000000000002BF51
0C0       00000060         FFFFFF0E         00000000000108C4
0C1       FFFFFFA8         0000013E         000000000001A944
0C2       FFFFFF60         FFFFFF2E         0000000000011044
0C3       00000137         FFFFFEE0         000000000002BDD1
0C4       FFFFFDC4         00000007         000000000004FE41
0C5       FFFFFFEB         FFFFFED2         00000000000165FD
0C6       000000B4         FFFFFE28         000000000003E4D0
0C7       FFFFFEDB         00000145         000000000002EBF2
0C8       00000098         FFFFFF88         0000000000009280
0C9       FFFFFE24         FFFFFB6D         0000000000186179
0CA       00000161         FFFFFE6C         0000000000046451
0CB       FFFFFF73         FFFFFD7E         00000000000697AD
0CC       000000A6         FFFFFA04         0000000000243BB4
0CD       FFFFFF16         FFFFFA4C         0000000000215C74
0CE       00000128         FFFFF4F3         00000000007B74E9
0CF       00000235         FFFFEF20         000000000121A2F9
0D0       00000071         FFFFE2DC         0000000003515EF1
0D1       00000886         FFFFC599         000000000D9B7B95
0D2       00000ED8         FFFF714E         0000000050664A04
0D3       00003B98         FFFDF766         00000004309166E4
0D4       0005DEA5         FFCE4B80         000009C90C58D659
0D5       FFF1A83E         00795988         00003A53792D4744
0D6       0008A4E3         FFB6DBA3         000015307A97EB12
0D7       FFFF99B8         00034572         0000000ADC601B04
0D8       FFFFE79B         0000BCCE         000000008D924D9D
0D9       FFFFF732         0000490C         0000000015255E54
0DA       FFFFF9C5         00002412         00000000053BE2DD
0DB       FFFFFAE9         00001673         000000000211DFBA
0DC       FFFFFD86         00000DCA         0000000000C44588
0DD       FFFFFC35         00000935         00000000006327F2
0DE       FFFFFCE9         0000065A         000000000031E3B5
0DF       FFFFFC38         000007F5         00000000004D9CB9
0E0       FFFFFE54         00000377         00000000000ECCE1
0E1       FFFFFC5C         0000050F         000000000026D7F1
0E2       FFFFFB8D         000003CF         0000000000224D0A
0E3       FFFFFC71         000003F2         00000000001C3AA5
0E4       FFFFFAD5         00000496         00000000002FBD1D
0E5       FFFFFAA1         000004E2         000000000034B0C5
0E6       FFFFFABB         00000432         00000000002D5E5D
0E7       FFFFFA46         00000429         00000000003219B5
0E8       FFFFF83F         000006F5         00000000006C85FA
0E9       FFFFF88B         00000376         00000000004395DD
0EA       FFFFF67F         00000799         0000000000940C72
0EB       FFFFF5B0         0000050B         000000000083C779
0EC       FFFFF420         000009DA         0000000000EE11A4
0ED       FFFFF299         000008A5         0000000000FE59CA
0EE       FFFFEDF1         00000A84         0000000001B4B0F1
0EF       FFFFECA2         00000CA9         0000000002175E15
0F0       FFFFE96F         00000FB0         0000000002F35721
0F1       FFFFE333         00001221         000000000486246A
0F2       FFFFDC3B         000017EF         00000000073C46BA
0F3       FFFFD59F         00001B68         0000000009F31301
0F4       FFFFC9D2         0000241F         0000000010902C05
0F5       FFFFB7C8         00002E7F         000000001CD16F41
0F6       FFFFA357         00003D37         00000000302D2962
0F7       FFFF8183         000051A9         00000000588BAA9A
0F8       FFFF4BDB         000076D9         00000000B5F0D14A
0F9       FFFEF3F0         0000AC7A         000000018CE5AB24
0FA       FFFE5EF5         000111AF         00000003CBFB8C1A
0FB       FFFD3503         0001CF21         0000000B12C0A04A
0FC       FFFAA342         00037C3F         00000028E6CC3485
0FD       FFF38042         000822BD         000000DE6A14D08D
0FE       FFD59C74         001B8FD7         000009FC78D17B21
0FF       FDE0B8F4         016147E5         00066875D25A7B69
100       06693692         FBD4C1D5         003A7B0BF0F0C67D
101       FB6567FC         02FE688D         001E289135939DB9
102       006CF880         FFB92381         000041FFF096C701
103       0015B424         FFF1E287         0000029E494B4841
104       0007FCB2         FFFACFD1         0000005AB6129465
105       0003D0E1         FFFD83B3         00000014BD4314EA
106       00021F35         FFFE9EDD         0000000667C36BC2
107       00014B5A         FFFF28B4         0000000261F29A34
108       0000DA21         FFFF7141         000000010974AAC2
109       0000976B         FFFF9E63         000000007EC7C102
10A       00006E5D         FFFFB8B7         00000000436DA09A
10B       00004ECE         FFFFCC85         00000000229C6ADD
10C       00003E48         FFFFD619         000000001602C2B1
10D       000031F9         FFFFE2AC         000000000D1D67C1
10E       0000277D         FFFFE43B         00000000091A78A2
10F       00001E7F         FFFFEC91         00000000051BAD22
110       000018EF         FFFFF030         000000000367B821
111       0000181C         FFFFF177         0000000003188861
112       0000117F         FFFFF52C         0000000001A75C91
113       00000EF7         FFFFF58B         00000000014D4BCA
114       00000C68         FFFFF696         0000000000F28A24
115       00000C6C         FFFFF91F         0000000000C99F51
116       0000074B         FFFFFA11         000000000058651A
117       00000AAB         FFFFF954         00000000009E51C9
118       000006D9         FFFFFC99         00000000003A7762
119       00000548         FFFFFAA9         00000000003867D1
11A       00000691         FFFFFC4C         000000000038D4B1
11B       0000044D         FFFFFCF0         00000000001BE029
11C       000005E1         FFFFFDC2         00000000002796C5
11D       00000309         FFFFFBC4         00000000001B2461
11E       000003FB         FFFFFDBF         000000000014EC9A
11F       000003FA         FFFFFF45         00000000001058BD
120       00000286         FFFFFAA3         00000000002321ED
121       0000041C         0000012B         0000000000124049
122       00000171         FFFFFD9A         000000000007D485
123       000002B9         FFFFFE0D         00000000000B365A
124       0000031E         FFFFFDEE         00000000000E00C8
125       000000EB         0000008B         0000000000012332
126       0000026D         FFFFFE68         0000000000086CA9
127       000002A4         FFFFFE44         000000000009FB20
128       000001CB         FFFFFFFE         00000000000336FD
129       000000F8         FFFFFE8E         0000000000030704
12A       00000177         FFFFFDF5         00000000000651CA
12B       0000016A         00000030         00000000000208E4
12C       000001D3         FFFFFF90         00000000000384E9
12D       FFFFFEBA         FFFFFE24         0000000000051434
12E       0000020E         00000056         00000000000455A8
12F       000000C4         FFFFFFAD         000000000000B0F9
130       00000017         FFFFFE64         0000000000029921
131       0000019D         FFFFFEFA         000000000003A66D
132       00000030         0000005B         0000000000002959
133       0000013A         FFFFFE4E         00000000000460E8
134       FFFFFF6E         00000152         0000000000021188
135       0000010F         FFFFFDEE         0000000000056825
136       0000007B         FFFFFFAE         000000000000555D
137       0000011A         FFFFFFA5         00000000000156FD
138       00000116         00000192         000000000003A528
139       FFFFFF13         FFFFFE53         000000000003AA52
13A       00000104         FFFFFF52         0000000000017E54
13B       000000E7         FFFFFFB2         000000000000E835
13C       000000C8         00000093         000000000000F0A9
13D       FFFFFFD5         FFFFFEDA         00000000000158DD
13E       0000015C         0000011A         0000000000030FB4
13F       FFFFFEDE         FFFFFE94         0000000000034E14
140       0000007A         0000004E         00000000000051E8
141       FFFFFFDF         FFFFFF34         000000000000A6D1
142       00000162         000000F6         000000000002D5E8
143       FFFFFF5C         FFFFFF57         000000000000D8A1
144       000001B6         000000A8         0000000000035BA4
145       FFFFFD9A         FFFFFF1F         0000000000068665
146       000001C5         FFFFFE63         000000000005BBE2
147       FFFFFFC4         000000FA         0000000000010234
148       000000EF         000000F1         000000000001C202
149       00000104         FFFFFE76         0000000000036674
14A       FFFFFDF3         00000065         0000000000045C82
14B       0000013D         00000004         0000000000018899
14C       00000108         FFFFFFEF         0000000000011161
14D       FFFFFF6C         0000002D         0000000000005D79
14E       000000AE         FFFFFE7B         000000000002C55D
14F       FFFFFF20         000001DA         00000000000431A4
150       00000175         FFFFFF07         00000000000311AA
151       FFFFFD64         0000000D         000000000006CFB9
152       00000150         FFFFFF7B         000000000001FE19
153       FFFFFF51         0000003F         0000000000008722
154       000001D7         000001B8         00000000000656D1
155       FFFFFF71         FFFFFD96         00000000000623C5
156       FFFFFEC7         00000097         000000000001D7C2
157       0000013A         000000C8         0000000000021D64
158       FFFFFFFD         FFFFFF3C         0000000000009619
159       FFFFFEF1         00000011         0000000000012002
15A       000001A5         FFFFFF7E         000000000002F65D
15B       00000105         FFFFFF79         000000000001514A
15C       FFFFFE2F         00000114         0000000000047631
15D       000000F7         FFFFFF7B         000000000001336A
15E       00000087         FFFFFE7E         0000000000028D35
15F       0000008F         00000126         000000000001A185
160       FFFFFE99         FFFFFF43         00000000000282FA
161       00000170         00000095         00000000000267B9
162       FFFFFE63         0000003C         000000000002A859
163       00000151         FFFFFDEB         000000000006115A
164       00000000         0000015E         000000000001DE84
165       FFFFFF96         00000068         0000000000005624
166       00000088         FFFFFE30         0000000000039140
167       FFFFFFEA         00000029         0000000000000875
168       00000097         FFFFFF8B         0000000000008E8A
169       000000EA         0000008F         00000000000125C5
16A       0000003C         FFFFFF28         000000000000C450
16B       FFFFFF47         000000AE         000000000000FBF5
16C       00000121         00000120         0000000000028A41
16D       FFFFFDB5         FFFFFEEF         000000000006651A
16E       000001CB         0000003E         00000000000345FD
16F       FFFFFF45         FFFFFF6C         000000000000DE29
170       000000BC         00000175         000000000002A989
171       FFFFFFBB         FFFFFE37         000000000003426A
172       FFFFFE47         000000D2         000000000003A3F5
173       0000025F         FFFFFFC4         000000000005AD51
174       FFFFFEB0         0000001B         000000000001BBD9
175       00000084         FFFFFFB0         0000000000005D10
176       00000025         00000111         000000000001287A
177       000000B5         FFFFFF34         0000000000012289
178       000000A5         00000038         0000000000007699
179       FFFFFEE8         FFFFFF9C         0000000000015950
17A       000000C5         00000052         000000000000B1DD
17B       00000022         FFFFFE82         0000000000023E88
17C       00000089         00000156         0000000000021235
17D       FFFFFFC8         0000011B         0000000000014519
17E       00000024         FFFFFE4F         000000000002E171
17F       0000012B         0000009C         000000000001BC49
180       FFFFFF36         00000010         000000000000A064
181       00000119         FFFFFF87         0000000000016DA2
182       FFFFFF25         00000152         000000000002799D
183       FFFFFFE3         FFFFFF0C         000000000000EBD9
184       0000019F         0000005D         000000000002C28A
185       FFFFFF2D         FFFFFEFF         000000000001AFEA
186       FFFFFFD6         00000105         00000000000110FD
187       00000168         0000001A         000000000001FCE4
188       FFFFFE70         FFFFFF84         000000000002AD10
189       00000020         00000123         0000000000014EC9
18A       000000C2         FFFFFF71         000000000000E2E5
18B       FFFFFE9E         FFFFFFA5         00000000000209DD
18C       000002A3         000000B3         00000000000770F2
18D       FFFFFDD4         FFFFFF50         0000000000053090
18E       000000BC         FFFFFFCF         0000000000009371
18F       0000008D         0000002D         0000000000005592
190       FFFFFF9B         0000010C         0000000000014069
191       000000C3         FFFFFF3B         0000000000012C22
192       000000F8         0000010C         00000000000208D0
193       FFFFFD75         FFFFFF60         000000000006DB79
194       00000065         FFFFFFB4         0000000000003E69
195       00000179         000000D5         000000000002DC6A
196       FFFFFE49         FFFFFEDD         0000000000043B9A
197       000000E0         FFFFFFBA         000000000000D724
198       FFFFFF19         000000E9         000000000001A482
199       FFFFFFA7         FFFFFF3F         000000000000B072
19A       000001E2         00000082         000000000003CD88
19B       FFFFFE71         0000001C         00000000000270F1
19C       00000004         FFFFFE83         0000000000023719
19D       0000019F         00000292         0000000000093C05
19E       FFFFFEDE         FFFFFF1B         000000000002155D
19F       00000164         FFFFFFED         000000000001F079
1A0       FFFFFF00         FFFFFEA9         000000000002CB91
1A1       FFFFFE7E         0000018C         000000000004AA94
1A2       0000005A         FFFFFF59         0000000000008C95
1A3       FFFFFF9D         FFFFFF10         0000000000010749
1A4       00000097         00000148         000000000001FD51
1A5       FFFFFFAC         FFFFFFA5         0000000000003BE9
1A6       00000054         FFFFFFD1         0000000000002431
1A7       FFFFFF6E         00000025         000000000000589D
1A8       000001AA         000000E5         00000000000391BD
1A9       FFFFFED0         0000003D         0000000000017789
1AA       000000FF         FFFFFF7B         000000000001431A
1AB       FFFFFF4B         FFFFFF67         000000000000DB6A
1AC       00000080         000001C8         0000000000036C40
1AD       000001AB         FFFFFEBD         0000000000045FC2
1AE       FFFFFE71         0000001D         000000000002712A
1AF       0000006E         FFFFFF6A         0000000000008728
1B0       00000031         00000026         0000000000000F05
1B1       FFFFFFAC         FFFFFF7B         00000000000060A9
1B2       000001A4         00000032         000000000002BAD4
1B3       FFFFFE98         FFFFFFC0         0000000000020A40
1B4       00000128         000000BC         000000000001E050
1B5       FFFFFFE4         FFFFFEF5         0000000000011989
1B6       FFFFFF35         0000003D         000000000000AF82
1B7       00000283         FFFFFF70         000000000006A009
1B8       FFFFFDEC         000000D2         000000000004FDD4
1B9       FFFFFFAA         00000028         0000000000002324
1BA       0000005B         FFFFFF47         000000000000A60A
1BB       FFFFFF49         000000F5         0000000000016D4A
1BC       FFFFFF39         FFFFFE8A         000000000002BD15
1BD       00000255         00000149         000000000007170A
1BE       FFFFFE6D         FFFFFE26         000000000005E80D
1BF       FFFFFFED         000000C7         0000000000009C1A
1C0       0000005B         000000C5         000000000000B7F2
1C1       000000E7         FFFFFF98         000000000000FAB1
1C2       FFFFFF63         00000011         000000000000616A
1C3       FFFFFFE5         FFFFFFD1         0000000000000B7A
1C4       00000019         00000103         000000000001087A
1C5       0000008D         FFFFFEC6         000000000001CECD
1C6       FFFFFF9F         FFFFFEB8         000000000001C901
1C7       FFFFFFC2         00000254         0000000000057A94
1C8       0000002A         FFFFFF0B         000000000000F15D
1C9       000001DB         00000008         0000000000037199
1CA       FFFFFE4A         000000AA         0000000000035E48
1CB       000000B4         FFFFFF93         000000000000ACF9
1CC       00000039         FFFFFFF6         0000000000000D15
1CD       FFFFFFC9         000001BB         0000000000030A6A
1CE       00000093         FFFFFF5F         000000000000B9AA
1CF       000000F1         FFFFFF49         00000000000165B2
1D0       FFFFFF5F         000000E4         0000000000013051
1D1       00000005         FFFFFF16         000000000000D5FD
1D2       0000008C         FFFFFFA6         0000000000006C34
1D3       FFFFFFA7         FFFFFFF5         0000000000001F6A
1D4       FFFFFFD0         00000116         00000000000136E4
1D5       FFFFFF3F         FFFFFF42         0000000000011E85
1D6       0000011B         FFFFFFE2         0000000000013C5D
1D7       0000004D         FFFFFFE6         00000000000019CD
1D8       FFFFFF99         000000C6         000000000000C295
1D9       FFFFFFF5         FFFFFF37         0000000000009E4A
1DA       FFFFFF4A         FFFFFF6A         000000000000D948
1DB       0000015D         0000005B         000000000001FC22
1DC       FFFFFEB7         00000043         000000000001B85A
1DD       00000091         FFFFFE72         000000000002BCE5
1DE       FFFFFF37         000001C1         000000000003B152
1DF       00000198         FFFFFE7E         000000000004D044
1E0       00000037         00000124         00000000000158E1
1E1       FFFFFF3C         FFFFFF13         0000000000017179
1E2       000000A7         000001BE         00000000000375F5
1E3       000000D9         FFFFFD81         000000000006F2F2
1E4       FFFFFEA6         00000068         000000000001FDE4
1E5       00000185         FFFFFF7E         000000000002911D
1E6       FFFFFE98         00000120         0000000000033E40
1E7       00000000         0000008F         0000000000004FE1
1E8       FFFFFFFC         FFFFFF91         0000000000003031
1E9       00000143         00000060         000000000001BB89
1EA       FFFFFEA7         00000014         000000000001D281
1EB       00000210         FFFFFF9B         00000000000468D9
1EC       FFFFFE9B         FFFFFFB5         00000000000207D2
1ED       0000011C         0000003E         0000000000014A14
1EE       000000BB         00000022         0000000000008D1D
1EF       FFFFFF73         FFFFFF23         0000000000010C72
1F0       000000CA         00000180         000000000002DF64
1F1       FFFFFE3B         FFFFFEAF         000000000004DD3A
1F2       00000113         FFFFFF39         000000000001C21A
1F3       000000A2         00000063         0000000000008CCD
1F4       FFFFFEED         0000009E         00000000000188ED
1F5       00000135         FFFFFFF3         00000000000175A2
1F6       FFFFFF3E         FFFFFFB1         000000000000AB65
1F7       00000109         00000025         00000000000117AA
1F8       FFFFFF27         FFFFFFA2         000000000000DA75
1F9       00000099         00000085         000000000000A08A
1FA       FFFFFFD0         0000009A         00000000000065A4
1FB       00000005         FFFFFE72         0000000000026ADD
1FC       FFFFFF0C         0000005C         00000000000109A0
1FD       00000014         FFFFFFDF         00000000000005D1
1FE       0000005C         FFFFFF2A         000000000000D3F4
1FF       FFFFFFE1         000000CA         000000000000A325
000       00000194         00000000         0000000000027D90
001       0000007E         000000B0         000000000000B704
002       FFFFFFCD         FFFFFED1         00000000000170CA
003       00000035         0000017D         0000000000024202
004       000000AB         FFFFFECA         000000000001E99D
005       FFFFFE59         00000119         000000000003EF62
006       FFFFFF9D         FFFFFE63         000000000002C092
007       000000A4         00000145         00000000000205A9
008       FFFFFFE9         0000004E         00000000000019D5
009       00000048         FFFFFF1B         000000000000E119
00A       FFFFFF9C         0000007D         0000000000006419
00B       0000015C         00000049         000000000001EDE1
00C       FFFFFE42         0000001B         0000000000030BDD
00D       0000010D         FFFFFF4B         0000000000019AA2
00E       FFFFFEB6         0000012F         0000000000031005
00F       000001CC         FFFFFFF2         0000000000033B54
010       FFFFFF90         FFFFFEF1         0000000000014FE1
011       FFFFFF3E         000000C8         0000000000012F44
012       000000CB         0000007B         000000000000DC12
013       FFFFFF13         00000008         000000000000DBA9
014       FFFFFFE1         FFFFFE37         0000000000033392
015       00000109         0000027E         0000000000074855
016       FFFFFF40         FFFFFE67         0000000000031D71
017       0000009F         00000001         00000000000062C2
018       FFFFFED6         00000011         0000000000015C05
019       FFFFFEF2         00000007         0000000000011CF5
01A       0000019A         00000127         000000000003E495
01B       FFFFFF83         FFFFFE92         000000000002484D
01C       00000114         00000088         00000000000171D0
01D       00000071         000000AA         000000000000A2C5
01E       FFFFFF40         FFFFFED9         000000000001E3F1
01F       FFFFFFA7         0000016F         0000000000022D12
020       00000027         FFFFFF37         000000000000A3C2
021       000000D6         FFFFFFFE         000000000000B2E8
022       FFFFFFA1         00000058         0000000000004181
023       FFFFFFD7         FFFFFE2A         0000000000036575
024       000000D5         00000222         0000000000053DBD
025       FFFFFFC4         FFFFFED5         0000000000016B49
026       FFFFFEE2         00000118         00000000000271C4
027       000000E9         FFFFFF87         0000000000010D42
028       FFFFFF28         00000017         000000000000B851
029       00000053         FFFFFFAF         000000000000348A
02A       FFFFFF50         00000041         0000000000008981
02B       FFFFFED7         FFFFFFC7         0000000000016542
02C       000001E5         00000095         000000000003ED92
02D       FFFFFE7F         FFFFFFD4         0000000000024A91
02E       000000D1         0000002E         000000000000B2E5
02F       FFFFFF80         FFFFFED9         00000000000193F1
030       FFFFFE30         0000015B         0000000000051F59
031       00000203         FFFFFF83         0000000000044912
032       FFFFFEF9         00000088         0000000000015671
033       FFFFFEDA         FFFFFED9         000000000002A595
034       FFFFFFCF         000000D3         000000000000B74A
035       00000201         00000017         0000000000040612
036       FFFFFE5C         FFFFFFA1         000000000002D451
037       FFFFFFD2         00000004         0000000000000854
038       00000066         00000028         0000000000002EE4
039       00000076         00000016         0000000000003848
03A       00000005         0000003D         0000000000000EA2
03B       00000037         FFFFFFD9         00000000000011C2
03C       FFFFFFFA         FFFFFFBB         00000000000012BD
03D       FFFFFFE6         FFFFFF25         000000000000BDFD
03E       000000B3         0000020D         000000000004B1D2
03F       FFFFFE44         FFFFFDB1         0000000000085671
040       00000112         000000AD         0000000000019A2D
041       FFFFFFB9         00000146         000000000001B2D5
042       00000196         FFFFFF20         00000000000347E4
043       FFFFFE0F         FFFFFFF3         000000000003C58A
044       0000018D         000000D4         0000000000031739
045       FFFFFF15         FFFFFDC5         000000000005D152
046       FFFFFF8B         00000219         0000000000049BEA
047       00000012         FFFFFF98         0000000000002B84
048       FFFFFF8E         FFFFFE74         0000000000029754
049       0000016B         00000186         00000000000454DD
04A       FFFFFF9B         FFFFFFD1         000000000000307A
04B       000000A9         0000001F         0000000000007352
04C       FFFFFE9D         00000086         000000000002326D
04D       00000058         FFFFFF20         000000000000E240
04E       FFFFFFA9         0000004C         0000000000003421
04F       0000013C         00000067         000000000001AF81
050       FFFFFF47         FFFFFF6A         000000000000DD95
051       FFFFFF93         00000083         0000000000007172
052       FFFFFFB6         FFFFFFAE         0000000000002FA8
053       00000060         0000003B         0000000000003199
054       FFFFFE8B         FFFFFF4A         000000000002A0DD
055       FFFFFF47         0000015F         00000000000266F2
056       FFFFFF51         FFFFFF6A         000000000000CF85
057       0000008C         FFFFFFF8         0000000000004CD0
058       FFFFFFED         FFFFFF25         000000000000BCC2
059       FFFFFEFA         FFFFFFC8         0000000000011864
05A       00000166         00000178         0000000000041CE4
05B       FFFFFFFA         FFFFFDF3         00000000000434CD
05C       FFFFFF32         00000176         000000000002C828
05D       00000007         00000021         0000000000000472
05E       000001AC         FFFFFE88         000000000004F3D0
05F       FFFFFE76         00000160         0000000000044264
060       000000D9         FFFFFE83         000000000002EEFA
061       FFFFFEA4         0000015E         000000000003B794
062       00000159         FFFFFFEA         000000000001D2D5
063       FFFFFDAF         FFFFFF58         000000000005CBE1
064       0000016E         00000142         000000000003A048
065       FFFFFEE9         FFFFFF2B         000000000001E14A
066       00000127         FFFFFE6A         000000000003D7D5
067       FFFFFFB2         0000033B         00000000000A875D
068       00000055         FFFFFD2B         0000000000082172
069       FFFFFF2D         000001C3         000000000003C872
06A       00000127         FFFFFF6D         000000000001A85A
06B       FFFFFE3C         00000050         0000000000033710
06C       00000114         FFFFFF17         000000000001FDA1
06D       FFFFFDAC         00000085         000000000005B0A9
06E       0000004C         000000C7         000000000000B141
06F       000000C0         FFFFFFDF         0000000000009441
070       FFFFFF37         FFFFFF12         0000000000017B15
071       000000CD         000000DC         0000000000016139
072       FFFFFFC6         FFFFFE2B         000000000003685D
073       FFFFFF25         000002BB         0000000000082FF2
074       00000219         FFFFFE95         000000000006692A
075       FFFFFDC5         FFFFFFE2         000000000004FD1D
076       00000184         0000003D         0000000000025A99
077       FFFFFE08         00000084         0000000000042450
078       00000056         FFFFFF5E         0000000000008368
079       000000CC         00000000         000000000000A290
07A       FFFFFF42         000000B9         00000000000112B5
07B       000000BD         FFFFFEC8         00000000000207C9
07C       0000007E         00000197         000000000002C515
07D       FFFFFE1D         FFFFFEBA         0000000000052E6D
07E       FFFFFFD9         0000011A         0000000000013C95
07F       000000B9         FFFFFF86         000000000000BFD5
080       00000031         FFFFFFCF         00000000000012C2
081       FFFFFF75         0000013C         000000000001D189
082       00000092         FFFFFE15         00000000000400FD
083       FFFFFF39         000000AC         0000000000010E41
084       FFFFFF92         000000E1         000000000000F505
085       00000233         FFFFFF29         0000000000058ABA
086       FFFFFE98         0000009B         0000000000025819
087       FFFFFFE9         FFFFFF41         0000000000009092
088       00000038         FFFFFFDD         0000000000001109
089       0000011C         FFFFFFDA         00000000000140B4
08A       FFFFFF20         000001C0         000000000003D400
08B       FFFFFF58         FFFFFDCC         00000000000548D0
08C       FFFFFF78         000001C5         00000000000369D9
08D       000000F4         FFFFFF18         000000000001BAD0
08E       0000001D         FFFFFFD2         0000000000000B8D
08F       FFFFFEE8         FFFFFF3C         000000000001C850
090       00000175         0000013B         000000000003A312
091       FFFFFF01         FFFFFF9B         00000000000125DA
092       FFFFFFCD         FFFFFFCC         00000000000014B9
093       FFFFFFBF         0000003B         0000000000001E1A
094       FFFFFF97         FFFFFF31         000000000000D272
095       000000A6         000001E4         000000000003FEB4
096       00000019         FFFFFDD0         000000000004CB71
097       FFFFFF6D         00000182         0000000000029A6D
098       00000175         FFFFFF87         00000000000258AA
099       00000163         FFFFFF54         0000000000025FD9
09A       FFFFFF6D         00000091         000000000000A68A
09B       FFFFFEDD         FFFFFFFD         0000000000014AD2
09C       FFFFFFC4         000000E9         000000000000E221
09D       000000A1         FFFFFD6F         000000000006FB62
09E       FFFFFF8B         000002A4         0000000000072E89
09F       FFFFFE30         FFFFFE9F         0000000000052FC1
0A0       000000E1         FFFFFFAC         000000000000E151
0A1       000000F5         FFFFFFF8         000000000000EAB9
0A2       FFFFFF11         0000018F         0000000000034D02
0A3       FFFFFED6         FFFFFEBD         000000000002F26D
0A4       0000016A         FFFFFFF1         00000000000200C5
0A5       FFFFFECC         000000CC         0000000000021520
0A6       FFFFFFE8         FFFFFE88         0000000000022A80
0A7       FFFFFF28         0000021A         00000000000520E4
0A8       0000008E         FFFFFDEE         0000000000049808
0A9       FFFFFEC8         000000A8         000000000001EA80
0AA       FFFFFF98         0000002E         0000000000003284
0AB       FFFFFFBC         FFFFFFA0         0000000000003610
0AC       FFFFFF69         0000007A         0000000000009335
0AD       00000013         FFFFFF89         00000000000038BA
0AE       FFFFFE7B         00000034         00000000000259A9
0AF       FFFFFF7B         FFFFFF58         000000000000B359
0B0       000001A1         00000024         000000000002AC51
0B1       FFFFFE32         00000091         00000000000393E5
0B2       0000011F         FFFFFF8D         000000000001756A
0B3       FFFFFE72         000000DD         000000000003298D
0B4       FFFFFF15         FFFFFF70         00000000000128B9
0B5       00000047         00000034         0000000000001E41
0B6       FFFFFFCE         000000CF         000000000000B125
0B7       FFFFFFB1         FFFFFE5B         000000000002CCBA
0B8       FFFFFF7D         0000022C         000000000004FA99
0B9       0000009B         FFFFFEA8         0000000000022C19
0BA       FFFFFF3E         FFFFFF71         000000000000E2E5
0BB       FFFFFF51         0000024C         000000000005BE31
0BC       FFFFFFB1         FFFFFE51         000000000002EE02
0BD       0000001C         000000B2         0000000000007ED4
0BE       FFFFFE75         FFFFFFB2         000000000002793D
0BF       FFFFFF22         00000225         00000000000559DD
0C0       000000FC         FFFFFE3D         0000000000041299
0C1       FFFFFD6E         00000171         000000000008AF25
0C2       FFFFFF9C         FFFFFF0B         0000000000011189
0C3       00000024         0000010D         0000000000011FB9
