FBin        FFTr             FFTi             SpectraPower
0CB       FFFFFFF3         FFFFFC73         00000000000C9C52
0CC       FFFFFFE0         FFFFFBE3         000000000010EF49
0CD       FFFFFE2B         FFFFF8DA         00000000003674DD
0CE       FFFFFE32         FFFFF64D         00000000006154ED
0CF       FFFFFF6C         FFFFEDE5         0000000001482469
0D0       FFFFFD9E         FFFFE2B9         00000000035ED735
0D1       FFFFFC55         FFFFC5E7         000000000D3CCAAA
0D2       FFFFF89D         FFFF7167         000000004FA4A7BA
0D3       FFFFE763         FFFDF393         0000000434AC36B2
0D4       FFFDB265         FFCE0154         000009C8C9245F69
0D5       00059AC6         007A118C         00003A5423F2B5B4
0D6       FFFC9D0D         FFB66BCE         00001531523ECC6D
0D7       00002575         00034A2A         0000000AD7F3565D
0D8       000007A6         0000BFE6         0000000090138248
0D9       000001C5         000048E6         0000000014C5503D
0DA       FFFFFEB0         0000254A         0000000005703264
0DB       000001C3         00001675         0000000001FB6C02
0DC       FFFFFDA0         00000CFC         0000000000AE3C10
0DD       FFFFFE02         00000B07         00000000007D9235
0DE       FFFFFEF4         00000815         0000000000426A49
0DF       FFFFFDC5         00000607         0000000000294DCA
0E0       FFFFFD1B         000005C3         0000000000299362
0E1       FFFFFF9D         000004C9         0000000000170C1A
0E2       FFFFFA7F         00000478         0000000000324341
0E3       FFFFFE0A         000005C5         00000000002521FD
0E4       FFFFFA8A         00000503         000000000036F06D
0E5       FFFFFDBF         0000046B         000000000018993A
0E6       FFFFFA83         000006DD         00000000004D39D2
0E7       FFFFFB86         000003B5         000000000021C81D
0E8       FFFFF926         00000883         00000000007764AD
0E9       FFFFF98F         00000685         000000000053FEFA
0EA       FFFFF86D         0000084B         00000000007E2462
0EB       FFFFF769         00000742         00000000007E7615
0EC       FFFFF493         00000BC3         00000000010CE2F2
0ED       FFFFF4F1         00000ACF         0000000000EF1E42
0EE       FFFFF185         00000DE9         0000000001932D2A
0EF       FFFFEF97         00001026         00000000021210B5
0F0       FFFFEB75         0000133D         0000000003182002
0F1       FFFFE8DC         00001852         000000000466F754
0F2       FFFFE14A         00001D84         0000000007165574
0F3       FFFFDB13         00002337         000000000A2B993A
0F4       FFFFD18A         00002F5D         000000001131E62D
0F5       FFFFC3C6         000039F0         000000001B47FE24
0F6       FFFFB10A         00004E06         0000000030227C88
0F7       FFFF91A7         00006B58         000000005C934931
0F8       FFFF6735         00009595         00000000B29879B2
0F9       FFFF1C65         0000DEDC         000000018C5E8CE9
0FA       FFFE9B22         00015D5A         00000003CE38B428
0FB       FFFD9C89         000251C1         0000000B15A0F4D2
0FC       FFFB6E84         000476A9         00000028CAD5EFA1
